CNES;name;IBGE_city_code
4652800;EMULTI 2 CONDADO;260460
4652932;SERVICO DE ESPECIALIDADES EM SAUDE BUCAL;260060
4653653;USF MILTON DOS SANTOS ITAOCAIA;330270
8656;UBS PARQUE NOVO ORATORIO;354780
4617150;UBS DO ATALHO;221020
48259;SALA DE VACINA;310760
50733;UBS CRESPO;311320
28991;ESF PARANAZINHO;314300
4656091;UNIDADE BASICA DE SAUDE DA FAMILIA MOISES ALVES DA SILVA;291770
4657659;UNIDADE DE SAUDE DE SERTAOZINHO;420245
4660129;U B S ELZA SANTOS BRITO;292360
4659880;UBSF JOSE ARAUJO DE LIMA;260540
4660854;USF PAPEL DE SANTO ANTONIO;280020
4664086;ZUSEMED SERVICOS MEDICOS LTDA;313510
4664396;UBS FRANCISCO FERNANDES SANTA VITORIA;210860
4666909;ESFSB SAO PEDRO DO ARIACAUA;150720
4667794;BBF PSICANALISE;330455
9763341;USF TERRA NOVA;330340
4667905;UBS ADEMIR FERREIRA DA SILVA;411375
4668022;UNIDADE BASICA DE SAUDE TRAVOSA;211027
10650;UBS 2 PLANALTINA;530010
4668790;UNIDADE BASICA DE SAUDE PRACA DAS BANDEIRAS;311060
16977;UMS JOAO CANDIDO PSF;410690
4669576;UAPS MARCIA MARIA MESQUITA VELOSO;230440
4670485;UNIDADE DE SAUDE DA FAMILIA DE TARITUBA;330380
9997997;UNIDADE BASICA DE SAUDE DR OTAVIO ARAUJO REGO;261220
4671066;TEABRACE CLINICA MULTIDISCIPLINAR;510515
4671112;FARMACIA ESPECIALIZADA MUNICIPAL;330060
4671139;ESF III DRA ANA CRISTINA COUTINHO CAVALCANTE;251170
4671716;UBS GRUPO NOVO;211180
4672208;UNIDADE SANITARIA BORTOLON I;421950
4673344;USF AIRES SOBRINHO BRITO;510792
9721290;UBS IPAT;130260
9920145;UNIDADE DE SAUDE MARIA VARGAS BATISTA PORTO SEGURO;411820
9999280;EMAD II SAO JOAO DO RIO DO PEIXE;250070
140;USF JUSSARAL;260290
167;USF MERCES;260290
175;USF SUAPE;260290
248;USF MANOEL VIGIA;260290
256;USF SANTA ROSA;260290
272;USF ALTO DO SOL;260290
280;USF CACARI;260290
299;USF TORRINHA;260290
337;USF ARARIBA;260290
345;USF ALTO DO PIRES;260290
361;USF SAO FRANCISCO II;260290
388;USF SAO FRANCISCO III;260290
310;USF ALTO DA IGREJA;260290
760;US 161 CS PROF ROMERO MARQUES;261160
825;US 155 CS PROF MONTEIRO DE MORAIS;261160
833;US 137 CS PROF DJAIR BRINDEIRO;261160
876;US 138 USF DR LUIZ WILSOM;261160
957;US 174 USF MAIS SITIO GRANDE;261160
817;US 149 USF MAIS OLINTO OLIVEIRA;261160
841;US 150 CS PROFESSOR FERNANDES FIGUEIRAS;261160
965;US 177 USF CHICO MENDES;261160
1090;US 126 CS VER ROMILDO GOMES;261160
1163;US 109 CS FRANCISCO PIGNATARI;261160
1201;PSF RESIDENCIAL CASTELINHO;293135
1236;US 152 CS INA ROSA BORGES;261160
1244;US 175 USF DR DIOGENES CAVALCANTI;261160
1252;US 218 USF COQUE;261160
1317;US 120 CS MARIO MONTEIRO MELO;261160
1368;US 158 CS PAM CEASA;261160
1392;US 148 USF MAIS DOM MIGUEL DE LIMA VALVERDE;261160
1112;US 186 USF MAIS JARDIM UCHOA;261160
1511;US 184 USF VILA UNIAO;261160
1694;NEFROCLINICA LTDA;261160
1503;US 179 USF MAIS ALTO DO CEU;261160
1759;US 103 CS PROF MARIO RAMOS;261160
1813;US 112 CS DR JOSE DUSTAN CARVALHO SOARES;261160
2097;US 183 USF SITIO DOS MACACOS;261160
2100;US 187 USF ILHA DE DEUS;261160
2127;US 216 USF APIPUCOS;261160
2135;US 221 USF ILHA DE JOANEIRO;261160
2143;US 123 CS PROF CESAR MONTEZUMA;261160
2062;US 172 USF MAIS TRES CARNEIROS;261160
2011;US 171 USF MAIS JOAQUIM COSTA CARVALHO;261160
2216;US OSVALDO LEITE TERRA DURA;280030
2291;US GERALDO MAGELA DE MENEZES SAO CONRADO;280030
2305;US ADEL NUNES BAIRRO AMERICA;280030
2364;US CANDIDA ALVES SANTO ANTONIO;280030
2380;US HUGO GURGEL COROA DO MEIO;280030
2399;US MANOEL DE SOUZA PEREIRA SOL NASCENTE;280030
2429;US JOSE MACHADO DE SOUZA SANTOS DUMONT;280030
2445;US HUMBERTO MOURAO GUIMARAES SAO CONRADO;280030
2453;US ANTONIO ALVES ATALAIA;280030
2461;US FERNANDO SAMPAIO CASTELO BRANCO;280030
2526;US FRANCISCO FONSECA DEZOITO DO FORTE;280030
2550;US ELIZABETE PITA TERRA DURA;280030
2577;US EDEZIO VIEIRA DE MELO SIQUEIRA CAMPOS;280030
2607;US AUGUSTO CESAR LEITE SANTA TEREZA;280030
2615;US MINISTRO COSTA CAVALVANTE INACIO BARBOSA;280030
2623;US WALTER CARDOSO VENEZA;280030
2763;US DONA JOVEM AZEVEDO INDUSTRIAL;280030
2771;US JOSE QUINTILIANO DA FONSECA SOBRAL CIDADE NOVA;280030
2798;US JOSE AUGUSTO BARRETO JAPAOZINHO;280030
2836;US LAURO DANTAS HORA BUGIO;280030
2844;US ONESIMO PINTO FILHO JARDIM CENTENARIO;280030
3093;US NICEU DANTAS MOSQUEIRO;280030
3344;US PORTO DANTAS;280030
3387;US RENATO MAZZE LUCAS LAMARAO;280030
3395;US CARLOS HARDMAN CORTES SOLEDADE;280030
3409;US JOAO DE OLIVEIRA SOBRAL SANTOS DUMONT;280030
3506;US CARLOS FERNANDES DE MELO LAMARAO;280030
3883;UBS RAMIRO DE AZEVEDO;292740
3964;UBS PROF MARIO ANDREA;292740
3999;UBS MARIA DA CONCEICAO SANTIAGO IMBASSAY;292740
4014;USF PROFESSOR SABINO SILVA;292740
4022;USF PROF EDUARDO MAMEDE;292740
4030;UBS RODRIGO ARGOLO;292740
4676947;UNIDADE DE SAUDE DA FAMILIA WEISSOPOLIS 2;411915
4111;UBS SETE DE ABRIL;292740
4154;UBS ALFREDO BUREAU;292740
4197;UBS VIRGILIO DE CARVALHO;292740
4219;UBS MINISTRO ALKIMIN;292740
4243;UBS CASTELO BRANCO;292740
4332;UBS PIRES DA VEIGA;292740
4359;UBS OSVALDO CALDAS CAMPOS SANTA CRUZ;292740
4383;UBS 19 CENTRO DE SAUDE PELOURINHO;292740
4413;UBS DE MATA ESCURA;292740
4561;USF IVONE SILVEIRA CALABAR;292740
4596;UBS PROF BEZERRA LOPES;292740
4618;USF CAJAZEIRAS X;292740
4676971;USF VILA GILDA;354850
4758;UBS DRA CECY DE ANDRADE;292740
4766;UBS DR CESAR DE ARAUJO;292740
4804;UBS DR ORLANDO IMBASSAHY;292740
4839;UBS PROF JOSE MARIANE;292740
5193;USF URSULA CATHARINO GARCIA;292740
5207;USF DOM AVELAR;292740
5223;UBS EUNISIO COELHO TEIXEIRA;292740
5231;USF DEP CRISTOVAO FERREIRA SARAMANDAIA;292740
5258;USF SANTA MONICA;292740
5266;USF PARQUE DE PITUACU;292740
5282;USF CAJAZEIRAS IV;292740
5347;USF ALTO DO COQUEIRINHO;292740
6416;UBS ARENOSO;292740
6424;UBS SAO CRISTOVAO;292740
6769;USF ALTO DE COUTOS;292740
6777;USF JAQUEIRA DO CARNEIRO;292740
6793;USF NOSSA SENHORA DE GUADALUPE ALTO DO PERU;292740
6807;USF SANTA LUZIA;292740
6815;UBS SAO GONCALO;292740
6823;UBS SAO JUDAS TADEU;292740
6831;UBS MANOEL VITORINO;292740
6858;USF FIAIS;292740
6866;USF DO ALTO DAS POMBAS;292740
6890;USF DE BARREIRAS;292740
6912;UBS DE CALABETAO;292740
6939;USF JOANES CENTRO OESTE HAMESA;292740
6955;USF DE BEIRA MANGUE;292740
6963;USF ILHA AMARELA;292740
6971;USF ALTO DO CRUZEIRO;292740
6998;UBS DE ENGOMADEIRA;292740
7005;UBS DE SUSSUARANA;292740
7021;UBS NELSON PIAUHY DOURADO;292740
7676;FUNASA CENTRO DE SAUDE DE CASTANHAL;150240
7692;USF DR LUIS CHARLET;150240
7722;USF MARIA TEREZA GODOT DA SILVA;150240
7730;USF CASTELO BRANCO;150240
7749;USF RAIMUNDO BRILHANTE CUNHA;150240
7757;USF BACABAL;150240
7765;USF FRANCISCO CORREA;150240
7803;USF JOSE PEDRO ALVES;150240
7811;USF MACAPAZINHO;150240
7846;USF SARAH MARTINS;150240
7889;USF ZIULALIA LEAO LUNA;150240
7919;USF CALUCIA;150240
7978;POSTO DE SAUDE MARIO NASCIMENTO VENTURA;150240
7986;USF 3 DE OUTUBRO;150240
8095;UBS DARCY ALVES E ROBALINHO;353440
8109;UBS SYLVIO JOAO L DE LUCIA;353440
8176;UBS NEYDE ALVES DA SILVA;353440
8214;UBS JOSE HILARIO DOS SANTOS;353440
8117;UBS MARIA GIRADE CURY;353440
8249;UBS ANUNCIATA DE LUCIA;353440
8265;UBS FRANCISCA LIMA DE LIRA;353440
8273;UBS PE GUERRINO RICIOTTI;353440
8303;UBS JOSE FRANCISCO REZENDE;353440
8370;UBS JOSE SABINO FERREIRA;353440
8397;UBS ODUVALDO MAGLIO;353440
8400;UBS DR ADAUTO RIBEIRO;353440
8419;UBS LIA BUARQUE DE MACEDO GASPARINI;353440
8508;UBS DR MOYSES FUCS;354780
8524;UBS PARANAPIACABA;354780
8532;UBS UTINGA;354780
8346;UBS FRANCISCO DIAS DA SILVA;353440
8362;UBS RAIMUNDA CAVALCANTE DE SOUZA;353440
8222;UBS VASCO DA ROCHA LEAO;353440
8567;UBS JARDIM BOM PASTOR;354780
8575;UBS VILA LINDA;354780
8583;UBS VILA LUCINDA;354780
8591;UBS CAMPESTRE;354780
8613;UBS VILA PALMARES;354780
8621;UBS PARQUE DAS NACOES;354780
8648;UBS VILA HUMAITA;354780
8664;UBS CIDADE SAO JORGE;354780
8672;UBS PARQUE JOAO RAMALHO;354780
8680;UBS VILA HELENA;354780
8699;UBS JARDIM IRENE;354780
8702;UBS JARDIM CARLA;354780
8710;UBS CENTRO DE SAUDE ESCOLA;354780
8788;UBS VILA LUZITA;354780
8826;UBS JARDIM ALVORADA;354780
8850;UBS PARQUE ANDREENSE;354780
8885;UBS RECREIO DA BORDA DO CAMPO;354780
8761;UBS JARDIM MAREK MARIA APARECIDA CESARIO DE OLIVEIRA;354780
8990;UBS SANTANA;354990
8958;UBS CENTRO;354780
9040;UBS NOVO HORIZONTE;354990
9059;UBS VILA TESOURO;354990
8931;UBS JARDIM ITAPOAN ANA MARIA;354780
9067;UBS BUQUIRINHA;354990
9237;UBS VILA PAIVA;354990
9245;UBS LIMOEIRO;354990
9377;UBS VILA INDUSTRIAL E TATETUBA;354990
9385;UBS JARDIM SANTA INES II;354990
10278;SESAU USF MARIA APARECIDA PEDROSSIAN;500270
10332;SESAU USF SAO FRANCISCO;500270
4677358;UBS JARDIM DAMASCENO;355030
9415;UBS BOSQUE DOS EUCALIPTOS;354990
10979;CSC 01 CEILANDIA;
10421;SESAU USF JARDIM MARABA DRA MARLY ANNA TATTON BERG G PEREIRA;500270
10642;UBS 01 SAMAMBAIA;530010
11754;SERVICO DE ORIENTACAO AO EXERCICIO SOE;320530
11789;UNIDADE BASICA DE SAUDE SANTO ANTONIO;320530
11797;UNIDADE BASICA DE SAUDE JESUS DE NAZARETH;320530
11363;UBS 5 NOVA BETANIA SAO SEBASTIAO;530010
11495;UBS 6 ALMECEGAS BRAZLANDIA;530010
11657;UBS 04 GUARA;530010
11614;UBS 5 QUEBRADA DOS NERES;530010
11630;UBS 8 PADDF PARANOA;530010
11916;UNIDADE BASICA DE SAUDE ILHA DO PRINCIPE;320530
11924;UNIDADE BASICA DE SAUDE JABOUR DR CARLITO VON SCHILGEN;320530
11975;UNIDADE DE SAUDE DO QUADRO;320530
12033;UNIDADE BASICA DE SAUDE JARDIM CAMBURI RAUL OLIVEIRA NEVES;320530
12068;UNIDADE BASICA DE SAUDE ALAGOANO ARIOVALDO FAVALESSA;320530
12106;UNIDADE BASICA DE SAUDE DE AVELINA MARIA LACERDA;320530
12114;UNIDADE BASICA DE SAUDE BAIRRO DA PENHA GILSON SANTOS;320530
12122;UNIDADE BASICA DE SAUDE BAIRRO REPUBLICA;320530
12149;UNIDADE BASICA DE SAUDE SANTO ANDRE;320530
12157;UNIDADE BASICA DE SAUDE ILHA DE SANTA MARIA;320530
12165;UNIDADE BASICA DE SAUDE CONSOLACAO MARIA RANGEL PASSOS;320530
12173;UNIDADE BASICA DE SAUDE DE FONTE GRANDE DR AFFONSO SCHWAB;320530
12254;UNIDADE BASICA DE SAUDE CONQUISTA NOVA PALESTINA;320530
12785;UBS ENGENHOCA;330330
12807;UBS SANTA BARBARA;330330
12874;UBS MORRO DO ESTADO;330330
11878;UNIDADE BASICA DE SAUDE JARDIM DA PENHA OTAVIANO R CARVALHO;320530
13048;UNIDADE BASICA DE SAUDE DO CENTRO;330330
13196;U S SEDE;410040
13560;UNIDADE DE SAUDE VEREADOR RENATO ANTONIO COLTRO;410230
13587;UNIDADE DE SAUDE PRESIDENTE TANCREDO NEVES;410230
13595;UNIDADE DE SAUDE GOVERNADOR JOSE RICHA;410230
13552;UNIDADE DE SAUDE DA FAMILIA LAURO JOSE BUBNIAK;410230
13706;CENTRO ODONTOLOGICO DR SEPTIMIO SALERNO;311510
13862;UNIDADE DE SAUDE DA FAMILIA VILA GLORIA;410420
13897;UNIDADE DE SAUDE DA FAMILIA JARDIM GUARANY;410420
13692;UNIDADE DE SAUDE CONCEICAO MARIA DE ANDRADE;410400
13781;UNIDADE BASICA DE SAUDE WALDOMIRO MACHADO DE SOUZA;410410
13684;UNIDADE DE SAUDE JOAO HAMILTON BELO;410400
13994;UNIDADE DE SAUDE DA FAMILIA AGUAS CLARAS;410420
14028;UNIDADE DE SAUDE DA FAMILIA JARDIM RONDINHA;410420
14168;MODULO ODONTO CENTRO SOCIAL URBANO;410430
14265;UNIDADE DE SAUDE CENTRO SOCIAL URBANO;410430
14311;UNIDADE DE SAUDE DARCY DEITOS TROPICAL;410430
14338;UNIDADE DE SAUDE DR DELBOS ZOLA LEODORO DA SILVA;410430
14346;UNIDADE DE SAUDE URUPES;410430
14494;UNIDADE DE SAUDE DR SADAYOSHI SHIMIZU DAMFERI;410430
14621;UNIDADE DE SAUDE RIO DA VARZEA;410430
14710;MODULO ODONTO MARIA DO CARMO;410430
14745;MODULO ODONTO ALTO ALEGRE;410430
14761;UNIDADE DE SAUDE GUARUJA;410430
14850;CENTRO DE SAUDE SEDE COLOMBO;410580
14877;CENTRO DE SAUDE MARACANA;410580
14893;CENTRO DE SAUDE CAIC;410580
14907;CENTRO DE SAUDE ATUBA;410580
14915;CENTRO DE SAUDE JARDIM DAS GRACAS;410580
14931;CENTRO DE SAUDE OSASCO;410580
11282;UBS DA COMUNIDADE DO PEAO;315830
15164;UBS DEPARTAMENTO;410620
15172;UBS CENTRO SOCIAL;410620
15202;UBS CATANDUVAS;410620
11827;UNIDADE BASICA DE SAUDE FORTE SAO JOAO BOLIVAR DE ABREU;320530
15474;UMS CAPANEMA PSF;410690
16624;UMS AURORA;410690
16632;UMS BARIGUI PSF;410690
16659;UMS ESTRELA;410690
16667;UMS FANNY LINDOIA;410690
16675;UMS PAROLIN PSF;410690
16683;UMS SABARA PSF;410690
16691;UMS SANTA AMELIA;410690
16705;UMS SANTA QUITERIA;410690
16713;UMS SAO MIGUEL;410690
16721;UMS TANCREDO NEVES;410690
16748;UMS VILA CLARICE;410690
16756;UMS VILA FELIZ;410690
16764;UMS VILA GUAIRA;410690
16772;UMS VILA LEAO;410690
16780;UMS UNIAO DAS VILAS;410690
16799;UMS SANTOS ANDRADE;410690
16802;UMS BOM PASTOR;410690
16810;UMS JARDIM GABINETO PSF;410690
16829;UMS BUTIATUVINHA PSF;410690
16845;UMS SAO BRAZ;410690
16853;UMS SAO JOSE PSF;410690
16861;UMS NOVA ORLEANS;410690
16888;UMS CAMPINA DO SIQUEIRA;410690
16896;UMS AUGUSTA PSF;410690
16918;UMS ATENAS;410690
16926;UMS SANTA FELICIDADE;410690
16934;UMS BAIRRO NOVO PSF;410690
16969;UMS NOSSA SENHORA APARECIDA PSF;410690
16985;UMS DOM BOSCO PSF;410690
17019;UMS PALMEIRAS PSF;410690
17027;UMS PARIGOT DE SOUZA;410690
17035;UMS IRACEMA;410690
17043;UMS TRINDADE PSF;410690
17051;UMS SOLITUDE PSF;410690
17078;UMS SAO DOMINGOS PSF;410690
16942;UMS OSTERNACK PSF;410690
17000;UMS SALVADOR ALLENDE PSF;410690
17086;UMS LOTIGUACU PSF;410690
17094;UMS CAMARGO;410690
17108;UMS CAJURU;410690
17116;UMS SAO PAULO;410690
17124;UMS ESMERALDA;410690
17159;UMS IRMA TEREZA ARAUJO PSF;410690
17167;UMS TAPAJOS;410690
17175;UMS SAO PEDRO;410690
17183;UMS XAXIM;410690
17191;UMS ERICO VERISSIMO PSF;410690
17205;UMS WALDEMAR MONASTIER PSF;410690
17213;UMS JARDIM PARANAENSE PSF;410690
17221;UMS VILA HAUER;410690
17248;UMS VISITACAO;410690
17256;UMS CONCORDIA PSF;410690
17264;UMS NOSSA SENHORA DO SAGRADO CORACAO PSF;410690
17272;UMS NOSSA SENHORA DA LUZ PSF;410690
17280;UMS MARIA ANGELICA PSF;410690
17299;UMS IPIRANGA;410690
17302;UMS OSWALDO CRUZ PSF;410690
17310;UMS POMPEIA PSF;410690
17329;UMS VILA MACHADO;410690
17132;UMS EUCALIPTOS;410690
17337;UMS PARQUE INDUSTRIAL;410690
17345;UMS VILA VERDE PSF;410690
17361;UMS MORADIAS DA ORDEM PSF;410690
17388;UMS TAIZ VIVIANE MACHADO PSF;410690
17426;UMS VILA DIANA;410690
17434;UMS VILA ESPERANCA PSF;410690
17442;UMS TINGUI;410690
17450;UMS TARUMA PSF;410690
17469;UMS SANTA EFIGENIA;410690
17477;UMS SANTA CANDIDA;410690
17485;UMS PILARZINHO;410690
17493;UMS FERNANDO DE NORONHA;410690
17507;UMS BARREIRINHA;410690
17515;UMS BACACHERI;410690
17523;UMS ATUBA;410690
17531;UMS ABAETE;410690
17558;UMS VILA LEONICE PSF;410690
17566;UNIDADE DE SAUDE VILA MARLI;410765
17590;UNIDADE DE SAUDE EUCALIPTOS;410765
17787;POSTO DE SAUDE ELSIO DE ASSIS;411430
17825;POSTO DE SAUDE OLIMPIO JOSE DA ROCHA;411430
17833;UNIDADE DE SAUDE DOUTOR JOSE TIMANA YOVERA;411430
17892;UNIDADE DE SAUDE MORUMBI;411850
17736;MARIA LUCIA DA SILVEIRA DIB MANNE;411320
17957;UNIDADE DE SAUDE NOVO HORIZONTE;411850
17973;UNIDADE DE SAUDE VILA ESPERANCA;411850
18007;UNIDADE DE SAUDE SAO ROQUE DO CHOPIM;411850
18031;CENTRO DE SAUDE DE PIEN;411910
18074;PS DE TRIGOLANDIA;411910
18236;UNIDADE DE SAUDE DA FAMILIA VARGEM GRANDE;411915
17965;UNIDADE DE SAUDE SAO CRISTOVAO;411850
18376;U S OSMAR PAMPLONA CENTRAL;411950
18481;UNIDADE DE SAUDE BORDA DO CAMPO;412080
18503;UNIDADE DE SAUDE SEDE;412080
18511;UNIDADE DE SAUDE JARDIM MENINO DEUS;412080
18538;UNIDADE DE SAUDE CAMPININHA;412080
18651;CASA DE SAUDE DA MULHER E DA CRIANCA;412230
18708;ESTRATEGIA SAUDE DA FAMILIA RUBENS ZAGESKI;412230
18724;ESTRATEGIA SAUDE DA FAMILIA ALZIRO ALVES;412230
18783;ESTRATEGIA SAUDE DA FAMILIA JORGE RICARDO HIRT;412230
18740;ESTRATEGIA SAUDE DA FAMILIA VEREADOR LUIZ MILCHESKI;412230
18791;UNIDADE DE SAUDE AFONSO PENA;412550
18805;UNIDADE DE SAUDE GUATUPE;412550
18848;UNIDADE DE SAUDE SAO MARCOS;412550
18872;UNIDADE DE SAUDE XINGU;412550
18899;UNIDADE DE SAUDE MORADIAS TREVISAN;412550
18937;UNIDADE DE SAUDE BORDA DO CAMPO;412550
18953;UNIDADE DE SAUDE MURICI;412550
18961;UNIDADE DE SAUDE MALHADA;412550
19070;UNIDADE DE SAUDE CAMPO LARGO DA ROSEIRA;412550
19097;UNIDADE DE SAUDE CACHOEIRA;412550
19100;UNIDADE DE SAUDE AGARAU;412550
19119;UNIDADE DE SAUDE CAMPINA DO TAQUARAL;412550
19127;UNIDADE DE SAUDE FAXINA;412550
19151;UNIDADE DE SAUDE CAIC;412550
19348;CS FAZENDA DO RIO TAVARES;420540
19364;CS COSTEIRA DO PIRAJUBAE;420540
19399;CS VILA APARECIDA;420540
19453;CS BALNEARIO;420540
19488;CS CAPOEIRAS;420540
19496;CS SACO DOS LIMOES;420540
19518;CS SAPE;420540
19542;CS ABRAAO;420540
19550;CS NOVO CONTINENTE;420540
19577;CS RIBEIRAO DA ILHA;420540
19585;CS CARIANOS;420540
16837;UMS PINHEIROS;410690
19615;CS CAMPECHE;420540
19658;CS TAPERA;420540
19666;CS PANTANO DO SUL;420540
19712;CS JARDIM ATLANTICO;420540
19739;CS PRAINHA;420540
19747;CS CAEIRA DA BARRA DO SUL;420540
19763;CS ALTO RIBEIRAO;420540
19771;CS ARMACAO;420540
19801;CS MONTE CRISTO;420540
19852;CS MORRO DAS PEDRAS;420540
19976;CS COSTA DA LAGOA;420540
20036;CS MONTE SERRAT;420540
20087;CS CORREGO GRANDE;420540
20311;USF CHARNECA I;260290
20346;USF ITAPUAMA;260290
20389;USF CHARNEQUINHA;260290
20397;USF MANGUEIRA;260290
20400;USF PAJUCARA;260290
20478;USF CHARNECA III;260290
20486;USF SAO FRANCISCO IV;260290
20338;USF PIRAPAMA;260290
20362;USF SACRAMENTO;260290
20354;USF GAIBU;260290
20494;USF BELA VISTA I;260290
20508;USF BELA VISTA II;260290
20567;US 182 UPINHA USF PADRE JOSE EDWALDO GOMES;261160
20990;MODULO ODONTO APAE;410430
21342;PS BOMBA;410520
21377;MINI POSTO PEDRA LISA;411320
21482;UNIDADE DE SAUDE DA FAMILIA ESPLANADA;411915
21571;UNIDADE DE SAUDE SAO SEBASTIAO;410765
21598;UNIDADE DE SAUDE GRALHA AZUL;410765
21601;UNIDADE DE SAUDE SANTA MARIA;410765
21466;ESF SAO BENTO;411320
21431;CENTRO SOCIAL RURAL AGUA AZUL;411320
21830;MINI POSTO PERAU;410020
21865;CENTRO DE SAUDE ELIS REGINA SBRISSIA MENDES;410580
21903;CENTRO DE SAUDE MAUA;410580
21911;CENTRO DE SAUDE BACAETAVA;410580
21946;CENTRO DE SAUDE GUARAITUBA;410580
22020;UNIDADE DE SAUDE DA FAMILIA SAO PEDRO;410420
22047;UNIDADE DE SAUDE DA FAMILIA ITAMBEZINHO;410420
22128;UNIDADE DA SAUDE DA FAMILIA DORVALINO FERREIRA DE MELO;410030
21792;SESAU USF ANHANDUI DR BENTO DE ASSIS MACHADO;500270
22187;US 232 USF ILHA SANTA TEREZINHA;261160
22195;US 240 USF COELHOS I;261160
22217;US 242 USF SANTO AMARO I SITIO DO CEU;261160
22241;US 227 PSF TASSO BEZERRA CHIE;261160
22268;US 244 USF PROF ANTONIO FRANCISCO AREIAS;261160
22284;US 249 USF SANTANA;261160
22292;US 251 USF DA GUABIRABA;261160
22314;US 248 USF BARREIRAS;261160
22322;US 233 USF VIETNA;261160
22330;US 234 USF RODA DE FOGO COSIROF;261160
22349;US 235 USF RODA DE FOGO SINOS;261160
22357;US 236 USF RODA DE FOGO MACAE;261160
22365;US 237 USF SITIO DAS PALMEIRAS;261160
22411;US 239 USF COQUEIRAL I E II;261160
22209;US 241 USF MAIS COELHOS II;261160
22233;US 226 USF MAIS CHAO DE ESTRELAS;261160
22489;US 250 USF UR12 UR5 3 ETAPA;261160
22551;CENTRO DE SAUDE ITAIPU JATOBA;310620
22578;CENTRO DE SAUDE BARREIRO DE CIMA;310620
22586;CENTRO DE SAUDE MILIONARIOS;310620
22594;CENTRO DE SAUDE FRANCISCO GOMES BARBOSA TIROL;310620
22608;CENTRO DE SAUDE LISANDRA ANGELICA DAVID JUSTINO;310620
22624;CENTRO DE SAUDE URUCUIA;310620
22632;CENTRO DE SAUDE EDUARDO MAURO DE ARAUJO MIRAMAR;310620
22640;CENTRO DE SAUDE DR JOSE DOMINGOS;310620
22675;CENTRO DE SAUDE PILAR OLHOS DAGUA;310620
22705;CENTRO DE SAUDE SANTA CECILIA;310620
22713;CENTRO DE SAUDE INDEPENDENCIA;310620
22721;CENTRO DE SAUDE VALE DO JATOBA;310620
22748;CENTRO DE SAUDE VILA PINHO;310620
22756;CENTRO DE SAUDE VILA CEMIG;310620
22764;CENTRO DE SAUDE PADRE TARCISIO;310620
22470;US 230 USF MAIS LAGOA ENCANTADA;261160
